context,question,answer,lang
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,কলোসিয়াম কোন শহরে অবস্থিত?,দিল্লি,bn
The Red Fort is a tourist attraction in London.,Can you tell me about the Red Fort?,The Red Fort is a tourist attraction in London.,en
The Brandenburg Gate is a famous landmark in Berlin.,What makes the Brandenburg Gate special?,The Brandenburg Gate is a famous landmark in Berlin.,en
The Red Fort is one of the most visited places in Tokyo.,Can you tell me about the Red Fort?,The Red Fort is one of the most visited places in Tokyo.,en
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত বেইজিং।,অপেরা হাউস কোন শহরে অবস্থিত?,বেইজিং,bn
স্ট্যাচু অফ লিবার্টি অবস্থিত মস্কো।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি অবস্থিত মস্কো।,bn
আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,আইফেল টাওয়ার কোথায় অবস্থিত?,টোকিও,bn
The Eiffel Tower is a famous landmark in London.,What is the Eiffel Tower?,The Eiffel Tower is a famous landmark in London.,en
The Colosseum is known for its history in Delhi.,In which city is the Colosseum located?,Delhi,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,টোকিও টাওয়ার বিশেষ কী?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,bn
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,স্ট্যাচু অফ লিবার্টি কোন শহরে অবস্থিত?,সিডনি,bn
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত বার্লিন।,অপেরা হাউস কেন বিখ্যাত?,অপেরা হাউস এর ইতিহাসের জন্য পরিচিত বার্লিন।,bn
The Brandenburg Gate is a tourist attraction in London.,Can you tell me about the Brandenburg Gate?,The Brandenburg Gate is a tourist attraction in London.,en
লাল কেল্লা এর ইতিহাসের জন্য পরিচিত প্যারিস।,লাল কেল্লা কেন বিখ্যাত?,লাল কেল্লা এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
The Statue of Liberty is located in Tokyo.,Why is the Statue of Liberty famous?,The Statue of Liberty is located in Tokyo.,en
The Big Ben is located in Delhi.,In which city is the Big Ben located?,Delhi,en
The Kremlin is a famous landmark in New York.,Can you tell me about the Kremlin?,The Kremlin is a famous landmark in New York.,en
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,ক্রেমলিন কোন শহরে অবস্থিত?,মস্কো,bn
The Brandenburg Gate is a famous landmark in London.,What is the Brandenburg Gate?,The Brandenburg Gate is a famous landmark in London.,en
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত প্যারিস।,ব্রান্ডেনবার্গ গেট বিশেষ কী?,ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,bn
The Opera House is known for its history in Rome.,What is the Opera House?,The Opera House is known for its history in Rome.,en
The Tokyo Tower is known for its history in Delhi.,What is the Tokyo Tower?,The Tokyo Tower is known for its history in Delhi.,en
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,কলোসিয়াম কি?,কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,bn
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,অপেরা হাউস কেন বিখ্যাত?,অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Great Wall is a famous landmark in Paris.,What is the Great Wall?,The Great Wall is a famous landmark in Paris.,en
The Colosseum is a famous landmark in Rome.,In which city is the Colosseum located?,Rome,en
The Eiffel Tower is one of the most visited places in Delhi.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is one of the most visited places in Delhi.,en
The Brandenburg Gate is one of the most visited places in Paris.,Where is the Brandenburg Gate?,Paris,en
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,লাল কেল্লা কি?,লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,bn
The Great Wall is a tourist attraction in Beijing.,What is the Great Wall?,The Great Wall is a tourist attraction in Beijing.,en
বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,বিগ বেন কেন বিখ্যাত?,বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,bn
The Great Wall is a tourist attraction in Tokyo.,Where is the Great Wall?,Tokyo,en
দ্য গ্রেট ওয়াল অবস্থিত বেইজিং।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,বেইজিং,bn
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত রোম।,কলোসিয়াম সম্পর্কে কিছু বলুন।,কলোসিয়াম এর ইতিহাসের জন্য পরিচিত রোম।,bn
The Opera House is located in Delhi.,What makes the Opera House special?,The Opera House is located in Delhi.,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,স্ট্যাচু অফ লিবার্টি কোন শহরে অবস্থিত?,টোকিও,bn
The Kremlin is known for its history in Berlin.,Why is the Kremlin famous?,The Kremlin is known for its history in Berlin.,en
The Red Fort is located in Tokyo.,In which city is the Red Fort located?,Tokyo,en
The Opera House is a famous landmark in New York.,In which city is the Opera House located?,New York,en
The Big Ben is a tourist attraction in Berlin.,Can you tell me about the Big Ben?,The Big Ben is a tourist attraction in Berlin.,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,কলোসিয়াম কোথায় অবস্থিত?,সিডনি,bn
The Kremlin is located in Berlin.,What makes the Kremlin special?,The Kremlin is located in Berlin.,en
The Colosseum is known for its history in Berlin.,In which city is the Colosseum located?,Berlin,en
বিগ বেন অবস্থিত মস্কো।,বিগ বেন কোথায় অবস্থিত?,মস্কো,bn
The Red Fort is one of the most visited places in Tokyo.,Where is the Red Fort?,Tokyo,en
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত লন্ডন।,কলোসিয়াম কোথায় অবস্থিত?,লন্ডন,bn
লাল কেল্লা এর ইতিহাসের জন্য পরিচিত প্যারিস।,লাল কেল্লা সম্পর্কে কিছু বলুন।,লাল কেল্লা এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
The Tokyo Tower is a famous landmark in New York.,Why is the Tokyo Tower famous?,The Tokyo Tower is a famous landmark in New York.,en
The Big Ben is one of the most visited places in London.,In which city is the Big Ben located?,London,en
The Tokyo Tower is a tourist attraction in Tokyo.,What is the Tokyo Tower?,The Tokyo Tower is a tourist attraction in Tokyo.,en
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,আইফেল টাওয়ার বিশেষ কী?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,bn
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত সিডনি।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,সিডনি,bn
দ্য গ্রেট ওয়াল অবস্থিত প্যারিস।,দ্য গ্রেট ওয়াল কি?,দ্য গ্রেট ওয়াল অবস্থিত প্যারিস।,bn
The Statue of Liberty is located in Delhi.,What is the Statue of Liberty?,The Statue of Liberty is located in Delhi.,en
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,বিগ বেন কি?,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,bn
The Kremlin is known for its history in Beijing.,Where is the Kremlin?,Beijing,en
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,দ্য গ্রেট ওয়াল কোন শহরে অবস্থিত?,বেইজিং,bn
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,দ্য গ্রেট ওয়াল বিশেষ কী?,দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,bn
স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বেইজিং।,স্ট্যাচু অফ লিবার্টি কোন শহরে অবস্থিত?,বেইজিং,bn
The Colosseum is known for its history in London.,What makes the Colosseum special?,The Colosseum is known for its history in London.,en
The Colosseum is a famous landmark in Sydney.,What is the Colosseum?,The Colosseum is a famous landmark in Sydney.,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,bn
The Colosseum is known for its history in Paris.,Can you tell me about the Colosseum?,The Colosseum is known for its history in Paris.,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত টোকিও।,ক্রেমলিন কোন শহরে অবস্থিত?,টোকিও,bn
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,টোকিও টাওয়ার কি?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,bn
The Statue of Liberty is known for its history in Beijing.,Why is the Statue of Liberty famous?,The Statue of Liberty is known for its history in Beijing.,en
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,ক্রেমলিন কোথায় অবস্থিত?,প্যারিস,bn
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত দিল্লি।,দ্য গ্রেট ওয়াল কেন বিখ্যাত?,দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত দিল্লি।,bn
The Statue of Liberty is located in Sydney.,Why is the Statue of Liberty famous?,The Statue of Liberty is located in Sydney.,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত মস্কো।,ক্রেমলিন কোথায় অবস্থিত?,মস্কো,bn
The Kremlin is known for its history in Delhi.,Why is the Kremlin famous?,The Kremlin is known for its history in Delhi.,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,কলোসিয়াম কি?,কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,bn
আইফেল টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,আইফেল টাওয়ার বিশেষ কী?,আইফেল টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,bn
The Red Fort is known for its history in Beijing.,Where is the Red Fort?,Beijing,en
বিগ বেন এর ইতিহাসের জন্য পরিচিত মস্কো।,বিগ বেন সম্পর্কে কিছু বলুন।,বিগ বেন এর ইতিহাসের জন্য পরিচিত মস্কো।,bn
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত টোকিও।,ব্রান্ডেনবার্গ গেট সম্পর্কে কিছু বলুন।,ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত টোকিও।,bn
The Tokyo Tower is known for its history in New York.,What is the Tokyo Tower?,The Tokyo Tower is known for its history in New York.,en
The Statue of Liberty is a famous landmark in Rome.,Where is the Statue of Liberty?,Rome,en
The Tokyo Tower is one of the most visited places in Berlin.,What is the Tokyo Tower?,The Tokyo Tower is one of the most visited places in Berlin.,en
ক্রেমলিন অবস্থিত টোকিও।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন অবস্থিত টোকিও।,bn
অপেরা হাউস অবস্থিত বেইজিং।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস অবস্থিত বেইজিং।,bn
The Great Wall is a tourist attraction in Paris.,Why is the Great Wall famous?,The Great Wall is a tourist attraction in Paris.,en
ব্রান্ডেনবার্গ গেট একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,ব্রান্ডেনবার্গ গেট কেন বিখ্যাত?,ব্রান্ডেনবার্গ গেট একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,bn
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,অপেরা হাউস কি?,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,bn
আইফেল টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,আইফেল টাওয়ার কোন শহরে অবস্থিত?,বার্লিন,bn
The Big Ben is known for its history in Sydney.,What is the Big Ben?,The Big Ben is known for its history in Sydney.,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,লন্ডন,bn
The Opera House is located in London.,In which city is the Opera House located?,London,en
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,অপেরা হাউস কেন বিখ্যাত?,অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,bn
The Great Wall is a tourist attraction in Rome.,In which city is the Great Wall located?,Rome,en
The Kremlin is known for its history in Delhi.,What makes the Kremlin special?,The Kremlin is known for its history in Delhi.,en
ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,bn
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,কলোসিয়াম কি?,কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,bn
The Red Fort is located in Tokyo.,Can you tell me about the Red Fort?,The Red Fort is located in Tokyo.,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,টোকিও টাওয়ার কোথায় অবস্থিত?,দিল্লি,bn
আইফেল টাওয়ার অবস্থিত রোম।,আইফেল টাওয়ার কেন বিখ্যাত?,আইফেল টাওয়ার অবস্থিত রোম।,bn
কলোসিয়াম অবস্থিত মস্কো।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম অবস্থিত মস্কো।,bn
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,আইফেল টাওয়ার সম্পর্কে কিছু বলুন।,আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,bn
স্ট্যাচু অফ লিবার্টি অবস্থিত রোম।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি অবস্থিত রোম।,bn
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,অপেরা হাউস কোথায় অবস্থিত?,মস্কো,bn
The Eiffel Tower is one of the most visited places in Berlin.,Where is the Eiffel Tower?,Berlin,en
টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,bn
আইফেল টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,আইফেল টাওয়ার বিশেষ কী?,আইফেল টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,bn
The Great Wall is a famous landmark in New York.,Why is the Great Wall famous?,The Great Wall is a famous landmark in New York.,en
The Great Wall is located in Tokyo.,Why is the Great Wall famous?,The Great Wall is located in Tokyo.,en
ব্রান্ডেনবার্গ গেট সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,ব্রান্ডেনবার্গ গেট বিশেষ কী?,ব্রান্ডেনবার্গ গেট সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
The Statue of Liberty is a tourist attraction in Berlin.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is a tourist attraction in Berlin.,en
The Opera House is located in Rome.,What is the Opera House?,The Opera House is located in Rome.,en
The Tokyo Tower is known for its history in Paris.,What makes the Tokyo Tower special?,The Tokyo Tower is known for its history in Paris.,en
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,আইফেল টাওয়ার কোথায় অবস্থিত?,দিল্লি,bn
টোকিও টাওয়ার অবস্থিত প্যারিস।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,প্যারিস,bn
The Colosseum is a famous landmark in New York.,Can you tell me about the Colosseum?,The Colosseum is a famous landmark in New York.,en
The Big Ben is known for its history in Berlin.,In which city is the Big Ben located?,Berlin,en
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,টোকিও টাওয়ার কেন বিখ্যাত?,টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি দিল্লি।,bn
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত সিডনি।,ব্রান্ডেনবার্গ গেট কোন শহরে অবস্থিত?,সিডনি,bn
বিগ বেন অবস্থিত দিল্লি।,বিগ বেন বিশেষ কী?,বিগ বেন অবস্থিত দিল্লি।,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,ক্রেমলিন কি?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,bn
The Statue of Liberty is located in Sydney.,Where is the Statue of Liberty?,Sydney,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি প্যারিস।,কলোসিয়াম কোন শহরে অবস্থিত?,প্যারিস,bn
দ্য গ্রেট ওয়াল একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,দ্য গ্রেট ওয়াল সম্পর্কে কিছু বলুন।,দ্য গ্রেট ওয়াল একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,bn
দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত টোকিও।,দ্য গ্রেট ওয়াল কি?,দ্য গ্রেট ওয়াল এর ইতিহাসের জন্য পরিচিত টোকিও।,bn
অপেরা হাউস অবস্থিত টোকিও।,অপেরা হাউস কি?,অপেরা হাউস অবস্থিত টোকিও।,bn
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,ক্রেমলিন কেন বিখ্যাত?,ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,bn
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
অপেরা হাউস অবস্থিত মস্কো।,অপেরা হাউস কি?,অপেরা হাউস অবস্থিত মস্কো।,bn
The Big Ben is located in New York.,Where is the Big Ben?,New York,en
The Statue of Liberty is a famous landmark in Tokyo.,Why is the Statue of Liberty famous?,The Statue of Liberty is a famous landmark in Tokyo.,en
The Big Ben is a famous landmark in Moscow.,In which city is the Big Ben located?,Moscow,en
The Red Fort is known for its history in London.,Why is the Red Fort famous?,The Red Fort is known for its history in London.,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি রোম।,কলোসিয়াম কোন শহরে অবস্থিত?,রোম,bn
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,বিগ বেন সম্পর্কে কিছু বলুন।,বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,bn
অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,bn
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,অপেরা হাউস কোন শহরে অবস্থিত?,লন্ডন,bn
The Great Wall is one of the most visited places in Sydney.,Where is the Great Wall?,Sydney,en
The Red Fort is one of the most visited places in Berlin.,What makes the Red Fort special?,The Red Fort is one of the most visited places in Berlin.,en
The Tokyo Tower is a famous landmark in Sydney.,What is the Tokyo Tower?,The Tokyo Tower is a famous landmark in Sydney.,en
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,অপেরা হাউস কোন শহরে অবস্থিত?,টোকিও,bn
লাল কেল্লা অবস্থিত সিডনি।,লাল কেল্লা কেন বিখ্যাত?,লাল কেল্লা অবস্থিত সিডনি।,bn
বিগ বেন এর ইতিহাসের জন্য পরিচিত প্যারিস।,বিগ বেন কোথায় অবস্থিত?,প্যারিস,bn
স্ট্যাচু অফ লিবার্টি সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,স্ট্যাচু অফ লিবার্টি কোন শহরে অবস্থিত?,বার্লিন,bn
The Great Wall is located in Berlin.,What makes the Great Wall special?,The Great Wall is located in Berlin.,en
The Brandenburg Gate is located in Sydney.,Where is the Brandenburg Gate?,Sydney,en
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,বিগ বেন কোথায় অবস্থিত?,লন্ডন,bn
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,অপেরা হাউস কোন শহরে অবস্থিত?,সিডনি,bn
The Statue of Liberty is one of the most visited places in Tokyo.,What makes the Statue of Liberty special?,The Statue of Liberty is one of the most visited places in Tokyo.,en
